title_D,year_D,contry_D,runtime_D,genre_D,director_D
스윙키즈,2018,한국,장편,드라마,강형철
과속스캔들,2008,한국,장편,코미디,강형철
그물,2016,한국,장편,드라마,김기덕
인간  공간  시간 그리고 인간,2018,한국,장편,드라마,김기덕
스톱,2015,한국,장편,드라마,김기덕
나쁜 남자,2002,한국,장편,드라마,김기덕
별이 빛나는 밤에,1972,한국,장편,드라마,김기덕
봄 여름 가을 겨울 그리고 봄,2003,한국,장편,드라마,김기덕
빈집,2004,한국,장편,드라마,김기덕
사마리아,2004,한국,장편,드라마,김기덕
수취인불명,2001,한국,장편,드라마,김기덕
시간,2006,한국,장편,드라마,김기덕
시거든 떫지나 말지,1973,한국,장편,드라마,김기덕
아멘,2011,한국,장편,드라마,김기덕
청춘 교사,1972,한국,장편,드라마,김기덕
피에타,2012,한국,장편,드라마,김기덕
가수왕,1975,한국,장편,멜로/로맨스,김기덕
결혼 반지,1972,한국,장편,멜로/로맨스,김기덕
동과 서,1971,한국,장편,멜로/로맨스,김기덕
카추사,1971,한국,장편,멜로/로맨스,김기덕
하숙 인생,1973,한국,장편,멜로/로맨스,김기덕
열 아홉 순정,1971,한국,장편,멜로/로맨스,김기덕
서울의 봄,2022,한국,장편,드라마,김성수
우리에게 축배를,1978,한국,장편,가족,김성수
런어웨이,1995,한국,장편,액션,김성수
야수,2005,한국,장편,액션,김성수
비공식작전,2022,한국,장편,드라마,김성훈
터널,2016,한국,장편,드라마,김성훈
공조,2016,한국,장편,액션,김성훈
마이 리틀 히어로,2012,한국,장편,드라마,김성훈
스크린 너머로,2019,한국,장편,드라마,김응수
그들의 이런 만남,2024,한국,장편,다큐멘터리,김응수
마지막 풍경,2020,한국,장편,다큐멘터리,김응수
고다르,2023,한국,장편,다큐멘터리,김응수
나르시스의 죽음,2019,한국,장편,다큐멘터리,김응수
산나리,2018,한국,장편,다큐멘터리,김응수
오  사랑,2017,한국,장편,다큐멘터리,김응수
초현실,2017,한국,장편,다큐멘터리,김응수
과거는 낯선 나라다,2007,한국,장편,다큐멘터리,김응수
물속의 도시,2014,한국,장편,다큐멘터리,김응수
아버지 없는 삶,2012,한국,장편,다큐멘터리,김응수
물의 기원,2009,한국,장편,드라마,김응수
시간은 오래 지속된다,1996,한국,장편,드라마,김응수
안단테 칸타빌레,1991,한국,장편,드라마,김응수
욕망,2002,한국,장편,드라마,김응수
옥주기행,2016,한국,장편,다큐멘터리,김응수
멍뭉이,2022,한국,장편,드라마,김주환
청년경찰,2017,한국,장편,액션,김주환
코알라,2013,한국,장편,드라마,김주환
장화  홍련,2003,한국,장편,공포(호러),김지운
좋은 놈  나쁜 놈  이상한 놈 ,2008,한국,장편,서부극(웨스턴),김지운
악마를 보았다,2010,한국,장편,스릴러,김지운
달콤한 인생,2004,한국,장편,액션,김지운
반칙왕,2000,한국,장편,코미디,김지운
차별,2021,한국,장편,다큐멘터리,김지운
마리아 브라운의 결혼,1979,독일,장편,드라마,라이너 베르너 파스빈더
베를린 알렉산더 광장 1  2,1980,서독,장편,드라마,라이너 베르너 파스빈더
베를린 알렉산더 광장 11  12  13,1980,서독,장편,드라마,라이너 베르너 파스빈더
베를린 알렉산더 광장 14,1980,서독,장편,드라마,라이너 베르너 파스빈더
베를린 알렉산더 광장 3  4  5,1980,서독,장편,드라마,라이너 베르너 파스빈더
베를린 알렉산더 광장 6  7,1980,서독,장편,드라마,라이너 베르너 파스빈더
베를린 알렉산더 광장 8  9  10,1980,서독,장편,드라마,라이너 베르너 파스빈더
불안은 영혼을 잠식한다,1974,독일,장편,드라마,라이너 베르너 파스빈더
사계절의 상인,1972,서독,장편,드라마,라이너 베르너 파스빈더
선 위의 세상,1973,서독,장편,드라마,라이너 베르너 파스빈더
성스러운 창녀를 주목하라,1971,서독,장편,드라마,라이너 베르너 파스빈더
중국식 룰렛,1976,서독,장편,드라마,라이너 베르너 파스빈더
퀴스터스 부인의 천국 여행,1975,서독,장편,드라마,라이너 베르너 파스빈더
페트라 폰 칸트의 쓰디쓴 눈물,1971,서독,장편,드라마,라이너 베르너 파스빈더
폭스와 그의 친구들,1975,서독,장편,드라마,라이너 베르너 파스빈더
파벨만스,2022,미국,장편,드라마,스티븐 스필버그
터미널,2004,미국,장편,드라마,스티븐 스필버그
82 바보들의 청춘,1983,한국,장편,드라마,심우섭
여자가 더 좋아,1983,한국,장편,드라마,심우섭
청춘을 뜨겁게,1981,한국,장편,드라마,심우섭
예산시악시,1971,한국,장편,멜로/로맨스,심우섭
호랑이 아줌마,1974,한국,장편,멜로/로맨스,심우섭
맹룡노호,1977,한국,장편,액션,심우섭
나의 인생 고백 2,1975,한국,장편,코미디,심우섭
나의 인생고백,1974,한국,장편,코미디,심우섭
돈에 눌려 죽은 사나이,1971,한국,장편,코미디,심우섭
마음 약해서,1979,한국,장편,코미디,심우섭
미쓰 촌닭,1970,한국,장편,코미디,심우섭
애교로 봐 주세요,1971,한국,장편,코미디,심우섭
운수대통,1975,한국,장편,코미디,심우섭
의처 소동,1974,한국,장편,코미디,심우섭
아녜스가 말하는 바르다,2019,프랑스,장편,다큐멘터리,아녜스 바르다
방7  부엌  그리고 욕실,1984,프랑스,단편,다큐멘터리,아녜스 바르다
사라진 사자상,2003,프랑스,단편,다큐멘터리,아녜스 바르다
시네마테크의 계단,1986,프랑스,단편,다큐멘터리,아녜스 바르다
아녜스 바르다의 해변,2008,프랑스,장편,다큐멘터리,아녜스 바르다
여기저기의 아녜스 바르다 Ep1~3,2011,프랑스,장편,다큐멘터리,아녜스 바르다
여기저기의 아녜스 바르다 Ep4~5 ,2011,프랑스,장편,다큐멘터리,아녜스 바르다
여인상 기둥 이야기,1984,프랑스,단편,다큐멘터리,아녜스 바르다
율리시즈,1983,프랑스,단편,다큐멘터리,아녜스 바르다
이데사  곰  그리고 기타 등등,2004,프랑스,장편,다큐멘터리,아녜스 바르다
이삭줍는 사람들과 나,2000,프랑스,장편,다큐멘터리,아녜스 바르다
낭트의 자코,1991,프랑스,장편,드라마,아녜스 바르다
방랑자,1985,프랑스,장편,드라마,아녜스 바르다
아무도 모르게,1990,프랑스,장편,드라마,아녜스 바르다
아녜스 V에 의한 제인 B,1988,프랑스,장편,판타지,아녜스 바르다
바르다가 사랑한 얼굴들,2017,프랑스,장편,다큐멘터리,아녜스 바르다
언더그라운드,2024,일본,장편,다큐멘터리,오다 카오리
플래시,2015,일본,단편,다큐멘터리,오다 카오리
등대,2024,일본,단편,다큐멘터리,오다 카오리
나이트 크루즈,2019,일본,단편,다큐멘터리,오다 카오리
바람의 교회,2019,일본,단편,다큐멘터리,오다 카오리
튠,2018,일본,단편,다큐멘터리,오다 카오리
천,2017,일본,단편,다큐멘터리,오다 카오리
색채론: 서장,2017,일본,단편,다큐멘터리,오다 카오리
시네 누보 20주년 프로젝트,2017,일본,단편,다큐멘터리,오다 카오리
다정함을 향해,2017,일본,장편,다큐멘터리,오다 카오리
가마,2023,일본,장편,다큐멘터리,오다 카오리
호모 모빌리타스,2022,일본,단편,다큐멘터리,오다 카오리
가라오케 카페 보사,2022,일본,단편,다큐멘터리,오다 카오리
수경,2021,일본,단편,다큐멘터리,오다 카오리
야행열차,2021,일본,단편,다큐멘터리,오다 카오리
우리의 영화관,2020,일본,단편,다큐멘터리,오다 카오리
붉은 고치의 실,2012,일본,단편,다큐멘터리,오다 카오리
호응,2014,일본,단편,다큐멘터리,오다 카오리
그러므로 노이즈가 말한다,2010,일본,단편,드라마,오다 카오리
극한직업,2018,한국,장편,코미디,이병헌
바람 바람 바람,2017,한국,장편,코미디,이병헌
8일 만에 죽은 괴수의 12일 이야기,2023,일본,장편,드라마,이와이 슌지
키리에의 노래,2023,일본,장편,드라마,이와이 슌지
키리에의 노래: 디렉터스 컷,2023,일본,장편,드라마,이와이 슌지
라스트 레터,2018,일본,장편,멜로/로맨스,이와이 슌지
하나와 앨리스: 살인사건,2015,일본,장편,애니메이션,이와이 슌지
3.11: 이와이 슌지와 친구들,2011,일본,장편,다큐멘터리,이와이 슌지
소년들은 불꽃을 옆에서 보고 싶었다,1999,일본,장편,다큐멘터리,이와이 슌지
이치카와 콘 이야기,2006,일본,장편,다큐멘터리,이와이 슌지
릴리 슈슈의 모든 것,2005,일본,장편,드라마,이와이 슌지
스왈로우테일 버터플라이,1996,일본,장편,드라마,이와이 슌지
쏘아 올린 불꽃  밑에서 볼까? 옆에서 볼까?,1996,일본,장편,드라마,이와이 슌지
하나와 앨리스,2004,일본,장편,드라마,이와이 슌지
4월 이야기,1998,일본,장편,멜로/로맨스,이와이 슌지
러브레터,1995,일본,장편,멜로/로맨스,이와이 슌지
동주,2015,한국,장편,드라마,이준익
박열,2017,한국,장편,드라마,이준익
변산,2017,한국,장편,드라마,이준익
라디오 스타,2006,한국,장편,드라마,이준익
소원,2013,한국,장편,드라마,이준익
왕의 남자,2005,한국,장편,드라마,이준익
즐거운 인생,2007,한국,장편,드라마,이준익
사도,2014,한국,장편,사극,이준익
황산벌,2003,한국,장편,코미디,이준익
손에 손잡고,1988,한국,장편,다큐멘터리,임권택
나비 품에서 울었다,1982,한국,장편,드라마,임권택
둘째 어머니,1971,한국,장편,드라마,임권택
만다라,1981,한국,장편,드라마,임권택
불의 딸,1983,한국,장편,드라마,임권택
아내들의 행진,1974,한국,장편,드라마,임권택
아제아제 바라아제,1989,한국,장편,드라마,임권택
왜 그랬던가,1975,한국,장편,드라마,임권택
우상의 눈물,1981,한국,장편,드라마,임권택
원한의 거리에 눈이 내린다,1971,한국,장편,드라마,임권택
증언,1973,한국,장편,드라마,임권택
화장,2014,한국,장편,드라마,임권택
아내,1976,한국,장편,멜로/로맨스,임권택
잡초,1973,한국,장편,멜로/로맨스,임권택
속 연화,1974,한국,장편,사극,임권택
아다다,1987,한국,장편,사극,임권택
연화,1974,한국,장편,사극,임권택
옥례기,1977,한국,장편,사극,임권택
임진왜란과 계월향,1977,한국,장편,사극,임권택
그 여자를 쫓아라,1970,한국,장편,스릴러,임권택
속눈섭이 긴 여자,1970,한국,장편,스릴러,임권택
30년만의 대결,1971,한국,장편,액션,임권택
나를 더 이상 괴롭히지 마라,1971,한국,장편,액션,임권택
대추격,1973,한국,장편,액션,임권택
명동 삼국지,1971,한국,장편,액션,임권택
명동 잔혹사,1972,한국,장편,액션,임권택
하류인생,2004,한국,장편,액션,임권택
울지 않으리,1974,한국,장편,전쟁,임권택
가디언즈 오브 갤럭시: Volume 3,2023,미국,장편,액션,제임스 건
춘천대첩 72시간,2024,한국,장편,다큐멘터리,최동호
도청(가제),2018,한국,장편,범죄,최동훈
타짜,2006,한국,장편,드라마,최동훈
범죄의 재구성,2004,한국,장편,스릴러,최동훈
헬로  스트레인저!,2016,미국,단편,애니메이션,커스틴 레포레
스키피 스턴트 넛,2018,미국,단편,애니메이션,커스틴 레포레
MTV 아이덴티티 스팟 영상,2017,미국,단편,애니메이션,커스틴 레포레
핀과 제이크의 어드벤처 타임: 먹구름 스타일,2015,미국,단편,애니메이션,커스틴 레포레
<산을 움직여라> 메이킹 영상,2013,미국,단편,애니메이션,커스틴 레포레
<유리병> 메이킹 영상,2010,미국,단편,애니메이션,커스틴 레포레
누구게?,2006,미국,단편,애니메이션,커스틴 레포레
댄시 댄스,2009,미국,단편,애니메이션,커스틴 레포레
부티 클랩,2011,미국,단편,애니메이션,커스틴 레포레
북아메리카에서 온 이야기,2007,미국,단편,애니메이션,커스틴 레포레
산을 움직여라,2013,미국,단편,애니메이션,커스틴 레포레
스윗 드림,2008,미국,단편,애니메이션,커스틴 레포레
알치팔치,2009,미국,단편,애니메이션,커스틴 레포레
요 가빠 가빠,2010,미국,단편,애니메이션,커스틴 레포레
으음..,2011,미국,단편,애니메이션,커스틴 레포레
작품 릴,2013,미국,단편,애니메이션,커스틴 레포레
하인즈 파퍼,2008,미국,단편,애니메이션,커스틴 레포레
올드 스쿨,2003,미국,장편,코미디,토드 필립스
수유천,2024,한국,장편,드라마,홍상수
우리의 하루,2023,한국,장편,드라마,홍상수
여행자의 필요,2024,한국,장편,드라마,홍상수
물안에서,2023,한국,장편,드라마,홍상수
탑,2022,한국,장편,드라마,홍상수
소설가의 영화,2021,한국,장편,드라마,홍상수
그 후,2017,한국,장편,드라마,홍상수
지금은맞고그때는틀리다,2015,한국,장편,드라마,홍상수
당신얼굴 앞에서,2020,한국,장편,드라마,홍상수
도망친 여자,2019,한국,장편,드라마,홍상수
강변호텔,2018,한국,장편,드라마,홍상수
풀잎들,2017,한국,장편,드라마,홍상수
클레어의 카메라,2016,한국,장편,드라마,홍상수
밤의 해변에서 혼자,2016,한국,장편,드라마,홍상수
당신자신과 당신의 것,2016,한국,장편,드라마,홍상수
강원도의 힘,1998,한국,장편,드라마,홍상수
그 자연이 네게 뭐라고 하니,2025,한국,장편,드라마,홍상수
극장전,2005,한국,장편,드라마,홍상수
누구의 딸도 아닌 해원,2012,한국,장편,드라마,홍상수
다른나라에서,2011,한국,장편,드라마,홍상수
돼지가 우물에 빠진 날,1996,한국,장편,드라마,홍상수
북촌방향,2011,한국,장편,드라마,홍상수
여자는 남자의 미래다,2004,한국,장편,드라마,홍상수
우리 선희,2012,한국,장편,드라마,홍상수
자유의 언덕,2013,한국,장편,드라마,홍상수
오! 수정,2000,한국,장편,멜로/로맨스,홍상수